question                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,prediction            ,expected_output ,score ,logprob
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?"                                                                                                                                                                                                                                                                                                     ,    72                ,           72.0 ,  1.0 ,-3.3441882133483887
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?"                                                                                                                                                                                                                                                                                                                                               ,    10.0              ,           10.0 ,  1.0 ,-3.4107136726379395
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?"                                                                                                                                                                                            ,     5                ,            5.0 ,  1.0 ,-3.2993412017822266
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?"                                                                                                                                                                                                                                     ,    42                ,           42.0 ,  1.0 ,-3.3890461921691895
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?                                                                                                                                                                                                                                                                                                                                                           ,   624                ,          624.0 ,  1.0 ,-9.422416687011719
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?"                                                                                                                                                                           ,    35                ,           35.0 ,  1.0 ,-3.217576026916504
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?"                                                                                                                                                                                                                                       ,    48                ,           48.0 ,  1.0 ,-3.3341658115386963
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?"   ,    16                ,           16.0 ,  1.0 ,-3.375828742980957
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?"                                                ,    41                ,           41.0 ,  1.0 ,-3.349311590194702
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?"                                                                                                                                                                                                                        ,   990.0              ,          990.0 ,  1.0 ,-3.361041784286499
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?"                                                                                                                ,   121                ,          121.0 ,  1.0 ,-3.3642473220825195
"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?"                                                                                                         ,     5                ,            5.0 ,  1.0 ,-3.3799686431884766
Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?                                                                                                                                                                                                                                                                                                       ,    85                ,           85.0 ,  1.0 ,-3.363816738128662
"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?"                                                                                                                                                                      ,    32.5              ,           35.0 ,  0.0 ,-3.3003623485565186
Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?                                                                                                                                                                                                                                                                                                                                                                  ,     5.0              ,            5.0 ,  1.0 ,-3.3806328773498535
James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?                                                                                                                                                                                                                                            ,448000.0              ,       448000.0 ,  1.0 ,-3.300783634185791
"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?"                                                                                                                                                                                                                          ,   800                ,          800.0 ,  1.0 ,-3.3552708625793457
"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats.  If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck."                                                                                                                                    ,    43                ,           43.0 ,  1.0 ,-3.411208152770996
It takes Roque two hours to walk to work and one hour to ride his bike to work. Roque walks to and from work three times a week and rides his bike to and from work twice a week. How many hours in total does he take to get to and from work a week with walking and biking?                                                                                                                                                                                    ,    16                ,           16.0 ,  1.0 ,-3.3550679683685303
